sensor_addr,totals,leaks
00088bb4bab91174,163755,0
01f7e03a9ceae8be,103422,0
022fac5295b1e964,117107,0
0247c9df561b13aa,71122,0
02ce5e0dd1f702b9,123619,0
038d05a43bbede71,388055,13025
03c6d3e48605dfca,78892,0
044db397146b4497,5619766,70551
05201eec560e8cb1,84214,0
053339890b5495bf,116164,0
073792da977aafee,147174,0
077874325d8b8890,124251,0
08df3dacecca3c21,62935,0
08ee03539eac110e,77412,0
0920e073d1c8e11e,162912,0
09553b243d11d5e6,64721,0
095e87f276afdf73,89079,0
09ec44255d5569a0,121170,0
0a2363001109dee0,147632,0
0c1b1796cbef42fa,36149,0
0c7d2e5a4b162dfb,105787,0
0cf9cbc5505208d3,65575,0
0cfd433d050437cb,29890,0
0dfad9fef6a858f0,82261,0
0e1f6afeb9cf87f9,3056394,35496
12aeba3d1cf0c712,39973,0
12d286c1ce6c1a1a,924763,13186
12f5ca3a1a3cf287,72035,0
1306716cb97ecae3,74706,0
1307f223fee83a7d,197603,0
1371d943f5345ef9,83803,0
13e7918ac6654a4f,68067,0
1413aba04a2dcb89,30872,0
154d11776a050300,83898,0
15d84b1d7e5b2d42,124729,0
15e5fd4b7e31c793,107940,0
162ff567a723ad64,108215,0
16a1a3706b868f11,99696,0
1710495e76035ece,112957,0
177bdc0e1b57097f,92743,0
1a7d25e30b7e3d10,89748,0
1b37996cf0b12ca8,46005,0
1bbb9b6f374a495c,75468,0
1bc81bab78f2b993,83633,0
1bd45ccd458e3942,82973,0
1d268b423c5bbd5e,118423,0
1d4277874a78d840,895942,14437
1facca7f83df65a6,52685,0
2075a3946dbbeeae,101029,0
214b47a012a75b1e,24771,0
21c25d06ae8035ff,67856,0
223a18fc69768fb8,95195,0
22d15ebc9c8da378,1187151,13287
22df23e314a79ea2,1228579,19338
23071c69b50d1d3a,109818,0
2447174c302813be,76681,0
28526dc2d1f88cea,79236,0
28bed80efc05c63d,126786,0
2961052f9548f406,94381,0
2a868c5b148eac35,140280,0
2aacd6c9a09ee499,71097,0
2b15bae664ae7ab5,69551,0
2b2ff5cddb1e3405,100999,0
2c6aa4527f441c98,129953,0
2ccab06897cfb706,73269,0
2dd665606c7e9338,151349,0
30563e9a4ad67252,67742,0
3153154f6e8e294a,101801,0
31c1080c761da15e,108735,0
32eae3bdf5862593,135698,2561
3413f3a0b9208afb,127842,0
345880e1bffa49b0,54303,0
354ee54efab6627a,106605,0
3603180f0c2fad89,1583939,18528
36123dd3ad5a7617,28435,0
3c67b7976ee9b06b,87732,0
3cace3ef00d2b66d,75112,0
3ce4e5ca5d7556ee,208195,0
3d20fa7236508675,141965,0
3d263811b5347cf1,1184816,12881
3d48e437086f459d,91639,0
3de3986dc5d46ef8,20357,0
3de6f1d446ee2ac2,112234,0
3efc63c687af8d3d,88862,0
3fce5017f45e42a4,73215,0
3fe52d39e3b2628a,148705,0
408148275a6eb193,1061616,13995
40e2555bfc77c8f5,128964,0
41435e376617a1fa,49475,0
415d9553586d0578,84219,0
4188a20dca8c9797,90850,0
42294cd97eebdb3c,69260,0
42d66883f2f7bec0,26572453,268465
4486524dd1e9c570,77082,0
451682bba67865ec,86427,0
45d1939ab471075b,84326,0
464567693b59ae40,40316,0
46eca26b7c925d6b,54714,0
472e4789bc1fc023,100749,0
47cb8a984d415f1d,58899,0
48c475266ef00106,131688,0
4a3cac8616a4a385,105773,0
4a5d7d3cb1fe3faa,19452,0
4af4211cb70a4a6b,73074,0
4af5b8e6b7fda466,127043,0
4c490f7bfd0cbf3b,84141,0
4cecf5be7d9b8c5e,101337,0
4f1398fff3da8669,120123,0
4f14cf08eda98c42,62703,0
4f1fc2a18a6d64ef,114988,0
508cd078adddd625,73038,0
5312fbf81e67ec7f,77690,0
553b500bab4da4d7,29458,0
55d92e216075d54c,49867,0
5615b40d85afd390,135824,0
573507c1aafeef3c,98956,0
578f9c72ac05fa55,6316180,65414
57bcf5cc479400d5,86591,0
5893161e509a354d,102034,0
58a3f3e780cbc7be,52306,0
593ba70ec4d6c774,26664,0
59e6f215cc54f852,92882,0
5a646dea6d9534ef,73918,0
5ab348fd30665ead,93257,0
5c0ce6297f13f98d,934339,12753
5d19f1b5bfd2bf41,70823,0
60150bb14b7a92d9,61363,0
61cecb9dd91606ec,70178,0
62c3b85d6a5bddec,84130,0
62c8b9cc20a8de14,62590,0
64303f43fa43f6b2,80398,0
65120fc3fc3bfe69,78048,0
65878e3fb8ba59a4,76780,0
67dc14e8f9aea40c,85367,0
6802e245fceae1d3,59548,0
680f6efe9728c6b7,104684,0
68993882ad75505c,99587,0
69c8992bfbe913ed,97768,0
6b9a8c8638ae9fde,119445,0
6c87ffea562bbd97,108439,0
6de6f6528676791b,159623,0
6f203e7a889dfbf7,105973,0
7373d744671b8fb9,131865,0
73e78b1b74f1123d,95324,0
75e9b3aee1521a58,66279,0
76082d476c2b2aa6,729882,11035
766d47dd23c829a0,137895,0
7756ba064b4350fc,81318,0
77bb243be3da5840,40461,0
797bf53d6cc20421,90335,0
799cfb210cac767f,60703,0
7cd75aae8ec7e779,117015,0
7d0b8c780cd259df,134754,0
7d816b1fef2a1d58,98841,0
7d8aa396190cc231,816633,13607
7de50d6cc939c7ae,572302,6180
7de8b8593d784cb6,75507,0
7e374b54d239b74d,119380,0
7ea402ac9bf01d9b,1941103,22729
7f50c324037693c8,89085,0
7f64ac22f59bdfdb,168613,0
80d332b5fe2a5fb7,4550023,47703
81e163f6482a5644,138426,0
81ef13fa21a02203,90303,0
822d7a8fd09b1d81,132069,0
82e8bb1f51f617f6,173199,0
831ae5c293e8b470,86520,0
83e824bbd1c72ab5,89217,0
848852585aab05c7,92173,0
87c95dd6cefac814,103274,0
886376736d1e875f,98886,0
891f1524aa66a1a3,100447,0
8d2e24b837c600a6,157249,0
8d5d3e8aa35a9688,131686,0
8d9cbe741e6b9a1d,16297,0
8e17722557ce39db,48679,0
8e6cacfaa80e92b9,92510,0
8ead8469aa446ffe,80226,0
910bbfc6bf50ab7d,36659,0
9409f4211f3c3dc1,120175,0
940c90ab29d0ab5e,76672,0
941623a37b534078,79656,0
94866dbf649ddbe2,86043,0
9516962dc632262d,44366,0
9633195cf6cad2ac,113352,0
968954c9d4724b6d,29521,0
99505a7f3ed78f2e,82705,0
9a0a97c9082f2f8b,93036,0
9a4516a54eb8e0e7,90832,0
9a5d363fb7b63240,75628,0
9aa0618acfeafb72,24272,0
9b28cca9feba64ae,37483,0
9bc9a91035b3f145,97743,0
9e48c001426930be,59219,0
9e9767a168d29ee4,119625,0
9eeeb6244d7212d0,31489,0
9ff343e7cc381f85,31219,0
a01a40fab3ccf88c,71907,0
a09c70b1ef3d7be7,100178,0
a2b5051c78ab6c68,1050591,13733
a367606828d1af62,57068,0
a3a67f49cf7cf774,24995,0
a5381c195358299b,119281,0
a5ebdef168bd7bfd,43768,0
a70bc054649a9863,43580,0
a89fd9b2cd1b0396,89236,0
a8c644e8217d3da3,79110,0
a91b1610c74b32b7,101404,0
aa482c1581c0eb78,155912,0
aa7e88c0710cf828,59930,0
ab1307d450c74e40,92319,0
aca5362c947a6157,81829,0
b10acb114aa20f12,127074,0
b36abcc2ee2537b9,150794,0
b38481503de61d97,61781,0
b41a2276f35c1fea,51538,0
b54308b126db2777,99030,0
b79c268d02788154,60399,0
b7c62a7bece81930,70821,0
b7ef004a0db543d8,6016443,75227
b82a71688ab927f0,81361,0
b91a933fb5bbc8aa,68469,0
b9c6eb257f6ea26f,94799,0
ba741c62edcd4b59,105031,0
bae1fd52d4d89da7,64461,0
bc801acf688dc941,98118,0
bcfaa14f4e22d6ee,23485,0
bdc7faa2a074772f,44996,0
bdc945d0bfabd1b2,72887,0
bdcbb2450902efb0,866245,10451
be682d9bf9a8228d,125686,0
bf1a6a26d37014b7,94484,0
bf74ef119d6d6ce2,73451,0
bf7ce59ed835afa1,118954,0
c06edb6474fa69d4,29459,0
c1434a4bcbb7bdd2,30718,0
c24689e8dab74e5a,87240,0
c3bf25c8d5173f46,100609,0
c433d12322bfb6fd,101708,0
c4df41c5dfba3faf,49862,0
c57693240f3aaca1,34362,0
c5c03f3a47823b98,97846,0
ca62adbe188c2014,118402,0
cae8c21d2185e6a3,53778,0
cc29263a54888e9b,97146,0
ce06f6db9c39bfd5,43184,0
ce43fba256131682,108027,0
ceb1f91dd374eb17,204987,0
cf61173d8e3e8c3e,22016,0
cfa90ead5893ac6d,2740360,33557
cfcce30b2cfcde46,94103,0
d006e7ad7e9e7c41,258268,3488
d0d8ffb1022c7ced,66060,0
d15fa2cc04a41cc5,949131,11183
d2c802ce37245adc,56244,0
d30452a6e7c2d625,206771,0
d3f87c0ad2637025,193408,0
d4b631bff3626daf,36234,0
d4d7473283e20cd0,75704,0
d557cd3cb47da0e6,74868,0
d6084e0347b2a862,92679,0
d62adbc2472a9fb4,28287,0
d6e14d416ca13237,56598,0
d6e7326773d920d1,111084,0
d8092bf1db91e704,68065,0
d9cfddd8671111ad,83287,0
da60cbf25064adeb,94224,0
da8ae695e01fdad2,52960,0
da9a8afbc811f5d5,99161,0
db16b6ef64902d2b,96799,0
db657a0f8472e228,49441,0
db83cc0072273b54,60073,0
dbc068a107eb5ad2,414571,4974
ddafa30f9e5437ba,104831,0
de08ea74baee4d6d,129627,0
de5b97aed9ca1e79,28739,0
df84d1cf9563ed6c,99801,0
dfb0f800717d2df4,38666,0
dfcce7347c4c3438,82393,0
e155d09a92bf0e0e,89756,0
e15e1f6ffa2c31c3,55260,0
e1e3753544c5083b,69394,0
e273b5c71c557227,2053962,26862
e3a54e9f6e90b54f,140002,0
e3d770f686d2eb3b,87872,0
e4996f9b9abb53ba,125484,0
e4ecf80be315c93b,22796,0
e5b2cc40fa2a4593,94819,0
e7ac52b88205f83c,72991,0
e7c287855291522e,33836,0
e7d78c56623fb7c1,87237,0
e85f517b05f453d1,125058,0
e9ce1c05b3883cc1,78344,0
ea2816582f81d4d4,84107,0
ea72834d5cd15ee6,104877,0
eb272967f6fca353,31122,0
eb8018d84f90b132,29024,0
eca1806f5d360502,31442,0
edd864ce19ea3f0e,92845,0
ef96ba63601bf1b6,115284,0
f00f83931da333f1,73227,0
f0734cfb63d34c95,59041,0
f10044407c6f4b3b,27556,0
f242398ff43a12c3,62870,0
f38a8665b69dd182,91374,0
f3aa4f9c8aff8e44,91373,0
f3d1627b4490039a,425617,10070
f4379dcfeddb3c3b,73578,0
f4430eefa32234e2,60976,0
f53b0e0abd701380,618214,5707
f5a7908a07b6c9ad,67680,0
f622ef8df788347f,140996,0
f6b006492ef3328d,55427,0
f6e7a4920ebec359,44957,0
f76c96b44a5be2af,135774,0
f801ad4189fe3542,128136,0
f8d8d3d87ad6f961,72591,0
f8ee7032fb52d72d,100377,0
f952315de2fa5984,91852,0
fa94e727ee7ad083,2572997,26922
fb3d0da9c3414e55,27217,0
fb8317a20363a237,54165,0
fc00d1000cc185ba,77951,0
fd7f51b1d9c19af5,51436,0
ff2391ce4ae36c57,160717,0
ffaf653d378be43a,48914,0
ffbc98e7187b81a6,109578,0
